"","Table 5.2:  Stocking of  Post Larve  ( Freshwater  Prawns)","","","","","","","",""
"Type of Water body","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Major Reservoirs","","","","","","","","",""
"No. of Tanks","19","18","17","13","20","27","34","30","29"
"Area (ha)","40,554","36,164","32,025","32,272","48,401","58,754","68,452","57,953","53,855"
"Stocks (Mn)","4.80","5.29","9.64","5.32","8.78","16.6","21.94","22","31.27"
"Beneficiaries/ Fishermen","3,366","3,298","3,122","2,387","4,670","5,200","7880","","5198"
"Medium Reservoirs","","","","","","","","",""
"No. of Tanks","21","24","30","19","36","35","49","48","38"
"Area (ha)","9,378","11,047","10,976","6,544","13,244","13,142","16,824","17,780","14,525"
"Stocks (Mn)","2.02","3.43","5.19","2.10","6.54","9","17.54","25","17.97"
"Beneficiaries/ Fishermen","1,715","2,010","2,000","1,260","2,601","2,460","3,590","","2,241"
"Minor Reservoirs","","","","","","","","",""
"No. of Tanks","48","86","62","18","51","84","114","132","114"
"Area (ha)","4,001","6,872","5,145","1,490","3,589","5,850","7850","9438","6783"
"Stocks (Mn)","2.89","5.08","4.86","2.16","5.34","10.1","17.23","23","16.07"
"Beneficiaries/ Fishermen","1,006","1,790","1,540","440","1,050","1750","2320","","2004"
"Seasonal Tanks","","","","","","","","",""
"No. of Tanks","54","91","64","-","10","16","1","3","1"
"Area (ha)","550","1,180","832","-","130","190","12","30","12"
"Stocks (Mn)","1.53","0.57","0.59","-","0.14","0.38","0.1","0.1","0.02"
"Beneficiaries/ Fishermen","408","1,092","768","-","110","180","15","","15"
"Ponds","","","","","","","","",""
"No. of Ponds","30","27","40","48","43","59","73","36","51"
"Area (ha)","14","1","2","2.40","2.15","2.95","4","2","2.7"
"Stocks (Mn)","0.12","0.09","0.15","0.22","0.40","0.4","0.33","0","0.47"
"Beneficiaries/ Fishermen","30","27","40","48","43","59","73","36","51"
"Other","","","","","","","","",""
"No of Units","","","","","","","","8","2"
"Stocks (Mn)","","0.08","-","-","1.07","2","3.7","3","0.115"
"Total","","","","","","","","",""
"No. of Tanks/Ponds","172","246","213","98","160","221","271","257","235"
"Area (ha)","54,497","55,264","48,980","40,308","65,366","77,939","93,142","85,203","75,178"
"Stocks (Mn)","11.36","14.46","20.28","9.80","21.20","38.38","60.84","73.76","65.91"
"Beneficiaries/ Fishermen","6,525","8,217","7,470","4,135","8,474","9,649","13,878","36","9,509"
"Source:  National Aquaculture Development Authority of Sri Lanka (NAQDA)","","","","","","","","",""
