"","Table 4.4: Marine Sector Fish Catch by Fisheries Districts (Mt)","","","","","","","","","","",""
"Fisheries","","","","","","","","","","","",""
"","1995","2000","2005","2010","2012","2014","2015","2016","2017","2018","2019","2020"
"District","","","","","","","","","","","",""
"1  Negombo","30,570","34,540","16,940","28,250","35,990","38,030","36,260","31,150","29,720","30,370","27,550","24,030"
"2  Colombo","2,550","3,130","560","1,990","2,970","7,110","6,770","6,310","5,935","4,650","3,270","1,460"
"3  Kalutara","28,910","33,140","11,560","43,360","52,610","40,180","32,350","46,090","42,440","41,750","44,380","42,300"
"4  Galle","21,430","27,830","11,210","21,830","27,410","51,550","55,240","56,890","47,750","54,100","52,950","40,460"
"5  Matara","29,930","35,480","17,090","38,970","48,380","42,370","35,190","30,550","28,800","29,710","23,260","24,260"
"6  Tangalle","23,260","33,470","6,220","20,170","27,320","58,870","66,100","62,510","68,050","64,230","57,500","46,100"
"7  Kalmunai","7,290","9,210","7,940","16,380","23,410","21,660","18,240","20,180","20,880","18,450","12,580","8,910"
"8  Batticaloa","8,360","9,860","7,650","39,610","35,690","31,720","27,790","28,500","23,500","17,850","18,300","12,600"
"9  Trincomalee","9,130","13,540","6,790","36,250","36,410","22,340","24,770","23,780","33,410","34,300","28,800","20,810"
"10  Mullaitivu","400","500","780","1,360","6,790","8,930","10,080","11,140","5,470","3,110","5,120","7,830"
"11  Kilinochchi","na","na","1,460","560","6,700","15,780","13,800","14,560","11,840","11,190","11,670","6,910"
"12  Jaffna","3,400","6,400","12,790","20,890","32,400","25,890","29,290","32,260","44,465","41,070","44,250","32,450"
"13  Mannar","700","1,200","8,380","10,790","13,450","22,130","19,390","17,510","21,380","23,250","25,270","19,320"
"14  Puttalam","27,020","29,730","11,670","24,830","31,540","38,280","43,790","41,890","35,890","34,660","36,440","26,120"
"15  Chilaw","24,550","25,650","9,360","27,020","36,150","34,460","33,830","33,670","29,910","30,680","24,150","13,370"
"Total","217,500","263,680","130,400","332,260","417,220","459,300","452,890","456,990","449,440","439,370","415,490","326,930"
"Source: Statistics Unit, Ministry of Fisheries","","","","","","","","","","","",""
