"","","","","","","Exported Quantity by Countries","","","","",""
"","Total","","","","","","","","","",""
"","","European Union","","Other European","","U. S. A.","","Japan","","Other Non",""
"Year/ Month","Quantity","","","","","","","","","",""
"","","Quantity","","Quantity","","Quantity","","Quantity","","Quantity",""
"","(Mt)","","%","","%","","%","","%","","%"
"","","(Mt)","","(Mt)","","(Mt)","","(Mt)","","(Mt)",""
"2008","6,147","4,073","66.3","121","2.0","651","10.6","1,083","17.6","219","3.6"
"2010","4,856","3,138","64.6","160","3.3","286","5.9","788","16.2","484","10.0"
"2015","9,845","1,491","15.1","517","5.2","3,027","30.7","908","9.2","3,902","39.6"
"2016","8,863","1,739","19.6","452","5.1","2,783","31.4","294","3.3","3,596","40.6"
"2017","13,279","4,142","31.2","238","1.8","2,699","20.3","347","2.6","5,852","44.1"
"2018","13,448","4,936","36.7","602","4.5","2,416","18.0","269","2.0","5,224","38.8"
"2019","14,252","5,200","36.5","746","5.2","2,183","15.3","247","1.7","5,877","41.2"
"2020","8,992","3,576","39.8","1,317","14.6","864","9.6","164","1.8","3,071","34.2"
"2021","9,936","4,601","46.3","1,912","19.2","457","4.6","2","0.0","2,963","29.8"
"2022","9,317","4,159","44.6","1,832","19.7","646","6.9","-","-","2,681","28.8"
"2023","8,006","3,115","38.9","1,431","17.9","1,135","14.2","4","-","2,321","29.0"
"Source :  Custom Returns/ Statistics Unit -  Ministry of Fisheries","","","","","","","","","","",""
