Table 8: Quantity of Tuna Exported by Country ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Year/ Month,Total Quantity (Mt),Exported Quantity by Countries,,,,,,,,,
,,European Union,,Other European,,U. S. A.,,Japan,,Other Non European,
,,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%,Volume (Mt),%
2008,6146.931999999999,4072.5379999999996,66.2531812618067,121.14,1.9707392240551873,650.723,10.586142810755025,1083.3449999999998,17.624157872577733,219.18599999999998,3.5657788308053515
2009,5213.986,3262.517,62.57241580625647,161.726,3.1017728087493905,461.83599999999996,8.85763789929624,830.111,15.92085210815679,497.796,9.547321377541099
2010,4856.1269999999995,3137.9030000000002,64.6173998332416,160.334,3.3016846552818744,286.216,5.8939150479384095,787.6299999999999,16.21930398443039,484.044,9.967696479107733
2011,4330,2145,49.53810623556582,160,3.695150115473441,404,9.33025404157044,1052,24.295612009237875,569,13.140877598152425
2012,6249,2209,35.349655944951195,145,2.3203712594015045,1176,18.819011041766682,2146,34.34149463914226,573,9.169467114738358
2013,13138.36,5403.64,41.12872535080482,248.8,1.8936914500744386,2253.48,17.151912415248173,2130.61,16.216711979272908,3101.83,23.60895880459966
2014,15375.330000000002,6367.22,41.411924166830886,376.33,2.4476222624164814,2948.12,19.17435268056035,1044.71,6.794715950812112,4638.95,30.171384939380157
2015,9845.05,1491.47,15.14944058181523,516.74,5.248729056734095,3026.58,30.74214960817873,907.95,9.222401105123895,3902.31,39.63727964814805
2016,8863.043,1738.561,19.61584751422282,451.683,5.0962519306292435,2782.79,31.397681360679396,294.28,3.320304324372566,3595.729,40.56991487009597
2017,13278.9,4142,31.19234273923292,238.2,1.7938232835551138,2699.3,20.327737990345586,347.2,2.6146744082717692,5852.2,44.07142157859461
2018,13447.699999999999,4936.3,36.70739234218491,601.9,4.475858325215465,2416,17.96589751407304,269.1,2.0010856875153373,5224.4,38.84976613101125
2019,14252.400000000001,5199.5,36.4815750329769,745.6,5.231399623922988,2182.8,15.315315315315313,247.3,1.7351463613145854,5877.2,41.236563666470204
2020,8992.26196,3575.9978899999987,39.767501279511194,1317.2254300000004,14.64843257302082,863.81736,9.60622993238511,164.27509,1.8268494704751683,3070.9461899999997,34.15098674460769
2021,9935.53062,4601.151709999999,46.310075284132125,1911.7902000000001,19.241953682389237,457.44538,4.604136381796989,2.0329,0.020460910219609392,2963.1104299999993,29.823373741462028
2022,9317.156749999998,4158.616699999999,44.63396733128913,1831.5113599999997,19.65740632194473,646.38577,6.937586082792908,0.05078,0.0005450160533147627,2680.5921400000007,28.770495247919932
2023,8005.730180000002,3114.98203,38.909405637750325,1431.4745500000006,17.880624475405444,1134.85164,14.17549198491723,3.7961,0.04741728630179738,2320.6258600000015,28.987060615625204
2024,4813.293069999999,1824.3846499999995,37.903045242994104,697.5610799999998,14.49238743320485,802.9809700000001,16.682569673655884,0.0054,0.00011218930410983683,1488.3609699999995,30.921885460841054
2025 Jan - Feb,897.2975900000001,371.92934000000014,41.44994304509389,141.89449999999997,15.813538516246314,58.486819999999994,6.518107331593299,0.00528,0.0005884335429899014,324.98165,36.2178226735235
,,,,,,,,,,,
Table 9: Value of Tuna Exported by Country ,,,,,,,,,,,
Year/ Month,Total   Value (Rs.Mn),Value of Exports by Countries,,,,,,,,,
,,European Union,,Other European,,U. S. A.,,Japan,,Other Non European,
,,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%,Value (Rs.Mn),%
2008,5727,5109,89.2090099528549,159,2.776322682032478,117,2.0429544264012574,209,3.6493801292125023,133,2.322332809498865
2009,5568,4812,86.42241379310344,227,4.076867816091954,151,2.7119252873563218,218,3.915229885057471,160,2.8735632183908044
2010,5260,4339,82.49049429657795,208,3.954372623574144,278,5.285171102661597,241,4.581749049429658,194,3.6882129277566538
2011,5119,3148,61.49638601289315,221,4.3172494627857,363,7.091228755616331,1029,20.101582340300837,358,6.9935534284039855
2012,9247,3978,43.01935762950146,231,2.498107494322483,1707,18.460041094408997,2738,29.60960311452363,593,6.41289066724343
2013,16594.86,9271.55,55.87001035260315,416.94,2.5124647029260867,2873.12,17.313312676334718,2035.68,12.26693084485196,1997.57,12.037281423284076
2014,19799.06,10747.11,54.2809103058428,623.24,3.147826209931178,4113.72,20.77735003580978,973.15,4.915132334565378,3341.84,16.87878111385086
2015,13687.86,3018.02,22.048881271433224,854.61,6.243561813168749,4969.14,36.30326435249922,808.35,5.905598099337661,4037.74,29.498694463561137
2016,13610.587816,3356.186848,24.65864732201071,801.275477,5.887148210146048,5021.995819,36.89771438891395,273.744429,2.0112608852807834,4157.385243,30.545229193648517
2017,19698.100000000002,7347.5,37.300551829871914,474.3,2.4078464420426333,5409.9,27.46407013874434,367.2,1.864139180936232,6099.2,30.963392408404864
2018,22277.300000000003,9876.9,44.33616282044951,1003.4,4.504136497690474,5352.2,24.025353162187514,564.4,2.5335206690218293,5480.4,24.600826850650655
2019,24309.4,10965.9,45.109710646910244,1341.1,5.516795971928554,4954.8,20.3822389692876,266.2,1.0950496515751107,6781.4,27.89620476029848
2020,17003.040458,8596.859582,50.56071943859395,2502.42181,14.717496063020894,2162.943539,12.720922145323286,184.533556,1.085297399931647,3556.281971,20.915564953130218
2021,24815.990275000004,13866.898637,55.878884877585236,4285.75924,17.270151996785465,1517.110388,6.113438839990034,2.618523,0.01055175703642155,5143.603487,20.72697252860283
2022,37731.086315,20338.02573,53.90257137100931,6226.362703,16.501943917063176,3246.945449,8.605491561766076,0.154298,0.00040894131356790223,7919.598135,20.989584208847873
2023,34624.456836000005,15962.93389,46.103059365260265,5366.259563,15.498465689779575,6164.429833,17.80368674719735,6.079587,0.0175586494505782,7124.753963,20.57722954831221
2024,19776.888852643002,9216.704946845,46.603411767737526,2489.842564,12.589657466104711,4112.58297,20.794893477142594,0.013394,6.772551587764024e-05,3957.744977798,20.01196956349928
2025 Jan - Feb,3279.491935905,1802.304182905,54.95681093686364,457.206594,13.941384913752822,274.216358,8.361550001016484,0.014585,0.00044473352229711035,745.750216,22.739809414844764
"Source :  Statistics Division/ Ministry of Fisheries, Aquatic and Ocean Resources ",,,,,,,,,,,
Note: It has considered the UK formally left the EU on 31 January 2020,,,,,,,,,,,
