Table 2:  Change in Consumer Prices at Selected Markets  - (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Variety,,,2019,2020,2021,,"% Change  4th    week of August 2021, compared to:",,
Sinhala Name,,Common Name,August 4th week average,August 4th week average,August 3rd week average,August 4th week average,Last week ,Last Year,2019.0
1,තෝරා,Seer,1530,1300,2200,2402.5,0.09204545454545454,0.8480769230769231,0.5702614379084967
2,පරව් (ලොකු),Trevally (L),1119.44,1070,1400,1460,0.04285714285714286,0.3644859813084112,0.3042235403415993
3,ගල්මාළු (ලොකු),Rock Fish (L),762.5,800,1300,1350,0.038461538461538464,0.6875,0.7704918032786885
4,තලපත්,Sail fish,1219.44,1224.6666666666665,1533.33,1565,0.020654392726940758,0.27789874795862834,0.28337597585777075
5,බලයා,Skipjack tuna,720,760,821.67,816.33,-0.006498959436269936,0.07411842105263164,0.13379166666666673
6,කෙළවල්ලා,Yellowfin tuna,1115,950,1260,1200,-0.047619047619047616,0.2631578947368421,0.07623318385650224
7,සාලයා (මට්ට),Sardinella,300,305,340,360,0.058823529411764705,0.18032786885245902,0.2
8,මෝරා,Shark,960,816.6666666666666,960,960,0,0.1755102040816327,0.0
9,හුරුල්ලා,Herrings,455,521.6666666666666,580,592.5,0.021551724137931036,0.13578274760383394,0.3021978021978022
10,කුම්බලා,Indian mackerel,600,523.3333333333334,692.5,667.5,-0.036101083032490974,0.2754777070063693,0.1125
11,කාරල්ලා,Pony fish,200,160,300,,,,
12,කටුවල්ලා,Katuwalla,­,,,,,,
13,හාල්මැස්සා,Anchovies,­,,,500,,,
14,ඉස්සා (M),Prawns (M),1288.67,1282.6666666666665,1100,1102.5,0.0022727272727272726,-0.14046257796257786,-0.14446677582313552
15, කොප්පරා,Marlins,960,950,1780,1580,-0.11235955056179775,0.6631578947368421,0.6458333333333334
16,අලගොඩුවා,Frigate tuna,340,320,,480,,0.5,0.4117647058823529
17,ඇටවල්ලා,Kawakawa,720,360,520,570,0.09615384615384616,0.5833333333333334,-0.20833333333333334
18,ඇටිස්සා,Red Bream,1100,733.3333333333334,960,,,,
19,බෝල්ලා,Big eye scade,440,426.6666666666667,540,600,0.1111111111111111,0.40624999999999994,0.36363636363636365
20,ගින්නටි පරව්,Ginnati paraw,910,900,820,820,0,-0.08888888888888889,-0.0989010989010989
21,හබරලි,Needle fish,720,480,760,666.67,-0.12280263157894743,0.3888958333333333,-0.07406944444444451
22,හැඩැල්ලා,Indian Anchovy,830,906.6666666666666,990,1067.5,0.07828282828282829,0.17738970588235298,0.286144578313253
23,ජීලාවා,Barracuda,1050,,1010,1040,0.0297029702970297,,-0.009523809523809525
24,ලින්නා,Indian Scade,402.67,345.33333333333337,542,521.67,-0.037509225092251,0.5106274131274129,0.2955273549060023
25,ලේන පරව්,Rainbow runner,512,496.6666666666667,620,635,0.024193548387096774,0.27852348993288584,0.240234375
26,සුද්දා,Threadfin bream,586,506.6666666666667,702.5,793.33,0.1292953736654805,0.5657828947368422,0.3538054607508533
27,සූඩයා,White Sardinella,­,,200,290,0.45,,
28,දැල්ලා,Cuttle fish,1005,746.6666666666666,1180,1146.67,-0.028245762711864346,0.5357187500000001,0.1409651741293533
29,කකුළුවා,Sea Crabs(L),1337.5,,,1650,,,0.2336448598130841
30,තිලාපියා,Thilapia (M),545,,,,,,
"* Selected Markets - Wellampitiya, Borella, Battaramulla,Maradana,  Nugegoda,  Kirulapana   ",,,,,,,,,
Maharagama and Dematagoda fish markets.,,,,440,,,,,
