Table  1 :  Change in  Wholesale  Prices at Peliyagoda Fish Market (Rs/Kg) ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Variety,,,2021,2022,,"% Change 4th week of Oct. 2022, compared to:",, ,,
Sinhala Name,,Common Name,4th week of Oct.,3rd week of Oct.,4th week of Oct.,Last week ,Last Year,,,
1,තෝරා,Seer (L),1333.33,1883.33,1860,-0.012387632544482342,0.39500348750871883,,,
2,පරව් (ලොකු),Trevally (L),812.5,960,1280,0.3333333333333333,0.5753846153846154,  ,, 
3,ගල්මාළු (ලොකු),Rock fish (L),766.67,1150,1200,0.043478260869565216,0.5652105860409303, ,,
4,ගල්මාළු (පොඩි),Rock fish (S),650,933.33,925,-0.008925031875113882,0.4230769230769231,,,
5,තලපත්,Sail fish,1187.5,1760.71,1800,0.022314861618324404,0.5157894736842106,,,
6,බලයා,Skipjack tuna,456.67,666.67,660.71,-0.008939955300223384,0.4467996583966541,,,
7,කෙළවල්ලා,Yellowfin tuna,889.17,1200,1192.86,-0.005950000000000084,0.3415432369513141, ,,
8,සාලයා (මට්ට),Sardinella,207.5,485.71,482.14,-0.0073500648535134,1.3235662650602409,,,
9,මෝරා,Sharks,715,915,960,0.04918032786885246,0.34265734265734266,,,
10,හුරුල්ලා,Herrings,385.83,540.71,639.29,0.1823158439829112,0.6569214420858928,,,
11,කුම්බලා,Indian Mackerel,375.71,689.29,605,-0.12228525003989608,0.6102845279603951,,,
12,කාරල්ලා,Pony fish,165,362.5,391.67,0.08046896551724142,1.373757575757576,,,
13,කටුවල්ලා,Katuwalla,290,533.33,554.17, ,0.9109310344827585,,,
14,හාල්මැස්සා,Anchovy,316,516.67,525,0.01612247662918312,,,,
15,ඉස්සා (M),"Prawns (M) 3""",985.71,1391.67,1300,-0.0658705009089799,0.3188463138245528,,,
16, කොප්පරා,Marlins,1400,2167.86,2192.86,0.01153211000710378,0.5663285714285715,, ,
17,අලගොඩුවා,Frigate tuna(L),383.33,712,702.5,-0.013342696629213483,0.832624631518535,,,
18,ඇටවල්ලා,Kawakawa,446,780,757.14,-0.029307692307692326,0.6976233183856502,,,
19,ඇටිස්සා,Red Bream(L),780,1350,1333.33,-0.012348148148148202,0.7093974358974358,,,
20,බෝල්ලා,Big eye scade,375,675,632,-0.0637037037037037,0.6853333333333333,,,
21,ගින්නටි පරව්,Ginnati Paraw,490,900,696.43,-0.22618888888888894,0.4212857142857142,, ,
22,හබරලි,Needle fish,567.5,790,814.29,0.03074683544303793,0.4348722466960352,,,
23,හැඩැල්ලා,Indian Anchovies,1000,983.33,1085.71,0.10411560717154973,0.08571000000000004,, ,
24,ජීලාවා,Barracuda(L),733.33,1133.33,1020,-0.09999735293339092,0.39091541325187834,,,
25,ලින්නා,Indian Scad(L),430.71,748.57,725,-0.03148670131049875,0.6832671635206985,,,
26,ලින්නා,Indian Scad(S),382,600,633.33,0.05555000000000007,0.657931937172775,,,
27,ලේන පරව්,Rainbow Runner,503.33,710.71,666.67,-0.06196620281127334,0.32451870542189015,,,
28,සුද්දා,Threadfin  Bream,445.83,821.43,807.14,-0.017396491484362592,0.8104210124935514,,,
29,සූඩයා,White Sardinella,128.57,310,315,0.016129032258064516,1.4500272225246948,,,
30,දැල්ලා,Squids /Cuttle fish,1020,1383.33,1433.33,0.036144665408832315,0.40522549019607834,,,
31,කකුළුවා(L),Sea Crabs(L),1416.67,2150,1950,-0.09302325581395349,0.37646734948858934,,,
32,තිලාපියා,Tilapia (M),465,,500,,,,,
"Abbreviations :  L - Large, M - Medium, S - Small",,,,,,,,,,
